run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
180,1860.3,-653.2,24,37,334,11.0,103.1,3.8,2.1,6.2,35,0,0,4,73.4,56.4,0.0
181,1048.2,-1611.7,15,12,285,8.5,81.2,12.0,24.7,39.6,3,0,0,18,84.0,70.0,727.0
182,-810.4,-299.4,3,28,275,6.0,91.4,32.2,38.7,26.9,82,2,0,16,77.7,87.3,0.2
183,-461.6,972.9,15,27,345,27.3,334.5,27.2,36.5,2.1,76,3,0,23,90.8,67.5,0.2
184,-1216.6,-1168.5,9,6,291,10.6,241.3,21.0,28.7,33.9,9,1,0,32,36.8,96.2,164.3
185,-1628.6,888.8,12,26,20,11.4,217.8,13.7,6.2,15.6,98,3,0,22,65.5,42.4,749.9
186,-113.3,1881.3,15,38,3,20.0,51.8,8.6,4.8,16.2,46,2,1,17,35.2,97.6,1233.8
187,243.8,385.6,30,36,6,2.8,340.7,18.0,32.2,9.3,92,5,2,10,67.8,63.1,0.0
188,1793.9,1893.6,21,13,182,16.0,323.9,10.1,27.7,25.0,52,5,0,9,86.0,58.4,0.0
189,860.0,968.3,1,36,309,10.5,351.9,10.8,28.3,19.4,26,4,1,14,90.4,51.2,2325.1
190,1880.0,-1854.6,25,15,157,23.9,308.8,27.5,13.1,6.3,45,1,0,39,59.9,65.5,0.0
191,-1199.0,88.4,34,33,21,12.5,9.5,6.0,11.1,12.6,36,1,0,36,90.9,78.2,0.0
192,1702.9,449.8,21,17,44,3.7,285.0,19.8,19.4,5.2,26,0,0,7,37.2,31.0,0.0
193,-1060.1,-341.3,18,12,340,18.9,150.7,29.2,5.8,6.6,13,1,0,3,84.9,35.9,0.0
194,113.2,-1549.6,22,27,246,14.3,234.0,34.1,19.4,7.3,31,3,2,30,33.9,42.8,0.0
195,1112.7,1136.2,29,40,161,17.2,7.4,38.7,28.9,19.5,49,4,0,37,98.8,95.9,0.0
